IQ;age;Mjob;traveltime;studytime;failures;freetime;absences
C;17.00;4;2.00;4.00;1.00;4.00;0.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
A;16.00;4;1.00;1.00;0.00;2.00;0.00
E;17.00;3;1.00;1.00;1.00;3.00;12.00
C;16.00;3;1.00;1.00;0.00;2.00;8.00
D;17.00;4;3.00;4.00;1.00;3.00;2.00
B;16.00;6;1.00;4.00;0.00;2.00;0.00
C;19.00;6;1.00;3.00;0.00;4.00;0.00
C;17.00;1;2.00;1.00;0.00;4.00;0.00
C;20.00;1;2.00;2.00;1.00;3.00;8.00
C;17.00;6;1.00;3.00;0.00;3.00;0.00
D;17.00;3;3.00;1.00;1.00;4.00;0.00
A;16.00;1;3.00;2.00;0.00;3.00;0.00
A;17.00;3;2.00;2.00;0.00;3.00;0.00
C;17.00;3;2.00;2.00;0.00;4.00;1.00
E;18.00;1;1.00;2.00;1.00;3.00;9.00
E;16.00;3;1.00;1.00;0.00;1.00;0.00
E;16.00;4;1.00;1.00;0.00;1.00;2.00
D;18.00;3;2.00;2.00;0.00;3.00;8.00
B;16.00;2;1.00;2.00;0.00;3.00;0.00
B;16.00;3;2.00;1.00;0.00;4.00;0.00
E;18.00;3;1.00;2.00;1.00;3.00;8.00
E;16.00;3;2.00;2.00;0.00;2.00;0.00
E;16.00;1;3.00;2.00;0.00;3.00;6.00
D;16.00;1;2.00;2.00;0.00;3.00;0.00
D;16.00;2;1.00;2.00;0.00;3.00;4.00
E;18.00;1;1.00;4.00;0.00;5.00;2.00
D;16.00;1;3.00;2.00;0.00;2.00;2.00
B;17.00;6;1.00;3.00;0.00;4.00;0.00
C;17.00;3;1.00;1.00;0.00;2.00;1.00
D;16.00;4;4.00;3.00;0.00;1.00;0.00
D;17.00;1;1.00;1.00;0.00;1.00;5.00
C;16.00;4;2.00;1.00;0.00;1.00;1.00
D;17.00;4;1.00;1.00;0.00;1.00;8.00
C;17.00;1;3.00;2.00;0.00;1.00;0.00
D;16.00;2;2.00;2.00;0.00;2.00;2.00
B;16.00;3;1.00;2.00;0.00;2.00;0.00
C;16.00;5;1.00;1.00;0.00;1.00;0.00
C;15.00;3;3.00;2.00;0.00;5.00;11.00
C;15.00;6;3.00;4.00;0.00;4.00;8.00
C;15.00;4;1.00;1.00;0.00;3.00;11.00
C;16.00;6;1.00;3.00;0.00;3.00;2.00
D;16.00;3;2.00;2.00;0.00;2.00;8.00
C;17.00;1;2.00;1.00;0.00;3.00;5.00
C;17.00;3;2.00;2.00;0.00;1.00;0.00
C;16.00;5;2.00;3.00;0.00;3.00;1.00
D;17.00;2;3.00;1.00;3.00;3.00;2.00
C;17.00;3;2.00;1.00;0.00;1.00;2.00
D;17.00;4;1.00;2.00;1.00;4.00;8.00
B;17.00;2;1.00;2.00;0.00;2.00;0.00
C;16.00;3;1.00;1.00;0.00;1.00;0.00
C;17.00;1;1.00;2.00;0.00;5.00;2.00
A;17.00;3;2.00;2.00;0.00;3.00;0.00
C;16.00;3;2.00;2.00;0.00;1.00;0.00
C;17.00;3;2.00;2.00;0.00;1.00;0.00
D;19.00;3;1.00;2.00;2.00;4.00;2.00
C;17.00;3;1.00;1.00;0.00;1.00;4.00
C;17.00;1;2.00;1.00;0.00;5.00;3.00
C;16.00;6;1.00;3.00;0.00;3.00;5.00
C;16.00;3;1.00;1.00;0.00;4.00;4.00
D;17.00;3;2.00;2.00;3.00;4.00;2.00
C;17.00;3;2.00;1.00;0.00;5.00;0.00
C;18.00;1;3.00;1.00;1.00;3.00;0.00
D;17.00;3;2.00;1.00;0.00;5.00;0.00
D;18.00;1;2.00;2.00;0.00;3.00;6.00
C;16.00;3;1.00;2.00;0.00;4.00;0.00
F;17.00;3;1.00;1.00;1.00;2.00;0.00
C;16.00;4;2.00;1.00;0.00;5.00;2.00
D;16.00;1;2.00;1.00;0.00;5.00;0.00
D;18.00;4;2.00;1.00;1.00;3.00;2.00
F;18.00;4;1.00;1.00;1.00;3.00;0.00
D;19.00;1;2.00;1.00;3.00;2.00;4.00
E;18.00;1;1.00;2.00;2.00;4.00;9.00
E;16.00;4;2.00;1.00;0.00;4.00;6.00
D;19.00;1;2.00;1.00;3.00;4.00;4.00
E;16.00;4;2.00;2.00;2.00;5.00;8.00
D;17.00;3;1.00;1.00;0.00;3.00;9.00
D;20.00;3;2.00;1.00;1.00;4.00;12.00
C;18.00;4;1.00;1.00;0.00;4.00;8.00
C;18.00;3;2.00;1.00;0.00;5.00;8.00
C;19.00;3;3.00;2.00;1.00;4.00;8.00
D;17.00;2;2.00;2.00;1.00;5.00;4.00
D;18.00;1;1.00;1.00;0.00;3.00;0.00
D;19.00;3;3.00;1.00;1.00;4.00;4.00
E;18.00;1;2.00;2.00;2.00;3.00;2.00
E;19.00;1;1.00;1.00;0.00;4.00;0.00
E;18.00;3;2.00;1.00;1.00;5.00;0.00
C;17.00;1;2.00;1.00;0.00;4.00;0.00
E;17.00;6;2.00;3.00;0.00;2.00;5.00
E;17.00;5;1.00;2.00;0.00;5.00;0.00
E;18.00;4;1.00;2.00;1.00;3.00;3.00
D;17.00;2;1.00;1.00;0.00;2.00;0.00
D;17.00;1;1.00;1.00;0.00;5.00;0.00
E;18.00;3;3.00;2.00;2.00;4.00;3.00
C;18.00;4;2.00;2.00;0.00;3.00;2.00
C;17.00;4;2.00;1.00;0.00;4.00;0.00
C;18.00;1;2.00;2.00;0.00;4.00;0.00
A;18.00;5;2.00;2.00;0.00;3.00;0.00
A;18.00;4;1.00;1.00;0.00;4.00;3.00
A;17.00;3;2.00;2.00;0.00;3.00;0.00
F;18.00;1;3.00;2.00;1.00;3.00;0.00
C;18.00;1;2.00;1.00;0.00;1.00;8.00
C;18.00;1;3.00;1.00;0.00;5.00;5.00
C;17.00;3;3.00;1.00;0.00;2.00;4.00
D;18.00;3;2.00;2.00;0.00;3.00;4.00
C;18.00;4;2.00;3.00;0.00;4.00;0.00
F;18.00;5;1.00;2.00;0.00;3.00;0.00
D;18.00;1;3.00;2.00;1.00;4.00;2.00
F;19.00;1;2.00;1.00;1.00;5.00;0.00
A;17.00;5;2.00;4.00;0.00;2.00;0.00
C;17.00;4;2.00;2.00;0.00;3.00;5.00
D;18.00;1;1.00;2.00;0.00;2.00;2.00
C;18.00;1;2.00;2.00;0.00;1.00;0.00
F;19.00;1;2.00;2.00;3.00;5.00;0.00
B;18.00;4;2.00;3.00;0.00;2.00;5.00
C;17.00;4;2.00;2.00;1.00;5.00;4.00
C;18.00;4;1.00;2.00;0.00;3.00;0.00
C;17.00;5;2.00;2.00;0.00;3.00;2.00
B;17.00;4;2.00;2.00;0.00;2.00;0.00
C;18.00;3;2.00;1.00;0.00;3.00;2.00
A;18.00;1;2.00;3.00;0.00;3.00;0.00
B;18.00;1;3.00;2.00;0.00;3.00;0.00
C;18.00;4;2.00;2.00;0.00;3.00;6.00
B;17.00;1;1.00;2.00;0.00;3.00;4.00
C;17.00;3;2.00;2.00;0.00;2.00;0.00
D;18.00;1;2.00;2.00;0.00;3.00;0.00
B;18.00;5;2.00;3.00;0.00;2.00;0.00
D;17.00;3;3.00;1.00;1.00;2.00;0.00
C;18.00;1;2.00;1.00;0.00;2.00;0.00
E;18.00;3;3.00;2.00;0.00;2.00;0.00
D;18.00;1;3.00;1.00;0.00;3.00;3.00
C;17.00;6;1.00;3.00;0.00;4.00;8.00
D;17.00;3;1.00;1.00;0.00;5.00;4.00
A;18.00;6;2.00;3.00;0.00;4.00;0.00
C;18.00;6;4.00;3.00;0.00;3.00;4.00
D;19.00;1;2.00;2.00;1.00;3.00;4.00
C;18.00;5;1.00;2.00;0.00;4.00;1.00
A;18.00;3;1.00;2.00;0.00;1.00;1.00
D;17.00;1;1.00;2.00;0.00;5.00;10.00
A;18.00;5;1.00;2.00;0.00;2.00;4.00
E;18.00;3;2.00;1.00;0.00;4.00;0.00
B;17.00;3;2.00;2.00;0.00;4.00;4.00
E;19.00;3;2.00;1.00;1.00;3.00;0.00
E;18.00;3;2.00;1.00;1.00;4.00;0.00
B;18.00;1;2.00;3.00;0.00;3.00;0.00
D;17.00;5;2.00;2.00;0.00;5.00;0.00
D;18.00;5;3.00;1.00;0.00;4.00;4.00
C;19.00;4;1.00;3.00;1.00;4.00;4.00
B;18.00;5;1.00;2.00;0.00;3.00;4.00
C;18.00;3;2.00;2.00;0.00;1.00;6.00
C;17.00;4;2.00;1.00;0.00;4.00;6.00
C;18.00;4;3.00;1.00;0.00;4.00;4.00
E;18.00;1;2.00;2.00;0.00;3.00;4.00
C;17.00;1;1.00;2.00;0.00;3.00;2.00
C;15.00;1;1.00;2.00;0.00;3.00;6.00
B;15.00;2;1.00;3.00;0.00;2.00;0.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;4;1.00;2.00;0.00;4.00;6.00
C;16.00;3;1.00;2.00;0.00;4.00;0.00
C;17.00;3;2.00;2.00;0.00;1.00;2.00
A;15.00;4;1.00;2.00;0.00;2.00;0.00
C;15.00;3;1.00;2.00;0.00;5.00;0.00
B;15.00;5;1.00;2.00;0.00;3.00;2.00
C;15.00;4;3.00;3.00;0.00;2.00;0.00
C;15.00;2;1.00;1.00;0.00;3.00;0.00
C;15.00;5;2.00;2.00;0.00;4.00;0.00
B;15.00;6;1.00;3.00;0.00;5.00;0.00
A;16.00;2;1.00;1.00;0.00;4.00;6.00
C;16.00;4;1.00;3.00;0.00;2.00;10.00
C;16.00;3;3.00;2.00;0.00;3.00;2.00
E;17.00;4;1.00;1.00;3.00;5.00;2.00
C;16.00;2;1.00;1.00;0.00;1.00;6.00
C;15.00;5;1.00;2.00;0.00;4.00;0.00
C;15.00;2;1.00;1.00;0.00;4.00;0.00
C;16.00;5;1.00;2.00;0.00;5.00;0.00
C;16.00;3;2.00;2.00;0.00;4.00;2.00
C;15.00;4;1.00;3.00;0.00;3.00;2.00
C;16.00;4;1.00;1.00;0.00;2.00;6.00
C;15.00;3;1.00;1.00;0.00;2.00;8.00
C;15.00;2;1.00;1.00;0.00;2.00;0.00
C;16.00;4;1.00;2.00;0.00;3.00;2.00
C;16.00;5;1.00;2.00;0.00;4.00;4.00
C;15.00;2;1.00;2.00;0.00;4.00;0.00
B;15.00;4;2.00;2.00;0.00;3.00;2.00
B;15.00;5;1.00;2.00;0.00;5.00;0.00
C;15.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;3;1.00;1.00;0.00;4.00;4.00
C;15.00;3;2.00;1.00;0.00;5.00;4.00
B;15.00;5;1.00;3.00;0.00;4.00;0.00
C;16.00;6;2.00;3.00;0.00;4.00;4.00
C;15.00;4;1.00;3.00;0.00;3.00;2.00
C;15.00;1;1.00;1.00;0.00;3.00;8.00
C;16.00;3;2.00;2.00;0.00;3.00;16.00
C;15.00;5;1.00;1.00;0.00;4.00;8.00
B;15.00;4;1.00;2.00;0.00;3.00;0.00
D;15.00;4;1.00;1.00;0.00;4.00;0.00
C;16.00;3;2.00;2.00;1.00;3.00;14.00
C;15.00;3;1.00;2.00;0.00;2.00;4.00
C;16.00;3;1.00;2.00;0.00;3.00;6.00
A;16.00;2;1.00;4.00;0.00;2.00;2.00
C;15.00;5;1.00;2.00;0.00;3.00;4.00
C;15.00;4;1.00;2.00;0.00;4.00;2.00
C;16.00;4;3.00;2.00;0.00;3.00;0.00
B;15.00;2;1.00;2.00;0.00;3.00;0.00
D;15.00;2;2.00;1.00;0.00;5.00;4.00
C;15.00;4;1.00;1.00;0.00;3.00;0.00
C;15.00;3;1.00;1.00;0.00;3.00;0.00
C;16.00;3;1.00;2.00;0.00;3.00;2.00
B;15.00;4;1.00;2.00;0.00;3.00;0.00
B;15.00;5;1.00;2.00;0.00;2.00;8.00
C;15.00;3;1.00;2.00;0.00;3.00;0.00
B;16.00;4;1.00;2.00;0.00;2.00;2.00
A;16.00;2;1.00;2.00;0.00;4.00;0.00
C;16.00;4;4.00;1.00;0.00;5.00;0.00
C;16.00;3;1.00;2.00;0.00;4.00;0.00
C;16.00;5;1.00;3.00;0.00;4.00;0.00
C;15.00;4;1.00;2.00;0.00;4.00;0.00
B;16.00;5;3.00;2.00;0.00;4.00;2.00
C;15.00;6;1.00;4.00;0.00;3.00;0.00
D;16.00;4;1.00;4.00;0.00;3.00;0.00
C;15.00;2;2.00;2.00;0.00;1.00;0.00
B;15.00;6;2.00;4.00;0.00;4.00;6.00
C;16.00;6;2.00;4.00;0.00;3.00;2.00
C;15.00;6;1.00;4.00;0.00;3.00;0.00
C;15.00;3;1.00;2.00;0.00;3.00;2.00
C;16.00;3;1.00;1.00;0.00;3.00;0.00
C;16.00;3;1.00;2.00;0.00;3.00;4.00
C;15.00;5;1.00;2.00;0.00;3.00;0.00
C;15.00;5;2.00;4.00;0.00;4.00;0.00
C;16.00;6;1.00;4.00;0.00;2.00;1.00
D;17.00;3;2.00;1.00;3.00;5.00;0.00
C;16.00;1;1.00;2.00;0.00;4.00;14.00
C;15.00;3;1.00;1.00;0.00;2.00;0.00
D;15.00;6;1.00;3.00;0.00;3.00;2.00
C;15.00;4;1.00;2.00;0.00;4.00;4.00
C;15.00;4;2.00;2.00;0.00;3.00;2.00
C;15.00;3;1.00;2.00;0.00;3.00;2.00
C;15.00;4;2.00;2.00;0.00;4.00;4.00
C;16.00;1;1.00;2.00;0.00;3.00;6.00
B;15.00;6;1.00;3.00;0.00;3.00;4.00
C;16.00;4;2.00;2.00;0.00;4.00;6.00
D;16.00;5;1.00;2.00;0.00;1.00;6.00
C;16.00;6;1.00;3.00;0.00;3.00;2.00
C;15.00;4;1.00;1.00;0.00;5.00;6.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;5;2.00;2.00;0.00;3.00;2.00
C;15.00;4;1.00;4.00;0.00;3.00;2.00
C;15.00;1;2.00;4.00;0.00;1.00;4.00
C;16.00;4;2.00;1.00;0.00;3.00;6.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;16.00;3;1.00;1.00;0.00;3.00;4.00
C;16.00;6;1.00;3.00;0.00;3.00;2.00
D;16.00;4;1.00;1.00;0.00;5.00;12.00
A;16.00;4;1.00;3.00;0.00;4.00;0.00
C;15.00;4;1.00;1.00;0.00;3.00;2.00
C;15.00;4;2.00;2.00;0.00;3.00;16.00
A;15.00;4;1.00;2.00;0.00;4.00;0.00
C;15.00;6;1.00;4.00;0.00;3.00;10.00
C;15.00;3;1.00;4.00;0.00;1.00;4.00
C;16.00;4;1.00;3.00;0.00;3.00;4.00
C;15.00;3;4.00;4.00;0.00;3.00;8.00
B;16.00;2;1.00;3.00;0.00;4.00;2.00
C;15.00;5;1.00;1.00;0.00;5.00;4.00
C;16.00;4;1.00;3.00;0.00;1.00;4.00
D;16.00;1;1.00;2.00;1.00;1.00;12.00
A;15.00;5;1.00;1.00;0.00;5.00;10.00
D;15.00;2;1.00;2.00;0.00;4.00;4.00
B;16.00;5;1.00;2.00;0.00;4.00;6.00
B;15.00;3;2.00;2.00;0.00;4.00;4.00
B;16.00;3;2.00;1.00;0.00;4.00;6.00
C;17.00;3;3.00;2.00;1.00;2.00;14.00
C;15.00;3;1.00;1.00;0.00;4.00;2.00
B;15.00;1;1.00;2.00;0.00;2.00;0.00
C;15.00;4;1.00;4.00;0.00;5.00;6.00
C;16.00;3;2.00;2.00;0.00;2.00;2.00
C;16.00;2;1.00;1.00;0.00;4.00;4.00
C;16.00;3;1.00;2.00;0.00;4.00;0.00
D;15.00;4;1.00;1.00;0.00;5.00;2.00
C;15.00;3;1.00;2.00;0.00;3.00;0.00
C;19.00;1;1.00;2.00;2.00;4.00;0.00
B;16.00;5;1.00;1.00;0.00;5.00;8.00
C;16.00;3;2.00;3.00;0.00;2.00;4.00
C;15.00;4;2.00;3.00;0.00;2.00;0.00
D;18.00;4;1.00;2.00;3.00;4.00;10.00
C;17.00;3;3.00;1.00;0.00;2.00;8.00
C;15.00;1;3.00;1.00;0.00;3.00;6.00
C;17.00;3;1.00;1.00;0.00;4.00;2.00
B;16.00;4;1.00;1.00;0.00;2.00;12.00
D;16.00;1;4.00;1.00;0.00;2.00;4.00
C;16.00;3;1.00;1.00;1.00;3.00;12.00
C;15.00;1;4.00;2.00;0.00;3.00;2.00
B;15.00;4;1.00;3.00;0.00;3.00;4.00
D;17.00;1;3.00;2.00;0.00;4.00;2.00
C;16.00;1;4.00;2.00;0.00;1.00;0.00
C;18.00;4;2.00;1.00;0.00;3.00;2.00
C;18.00;3;1.00;3.00;0.00;3.00;10.00
C;16.00;3;2.00;1.00;0.00;3.00;8.00
D;16.00;3;2.00;1.00;0.00;3.00;4.00
C;16.00;4;1.00;2.00;2.00;4.00;0.00
C;15.00;5;2.00;1.00;0.00;3.00;6.00
D;15.00;3;3.00;1.00;1.00;5.00;2.00
C;15.00;5;2.00;4.00;0.00;2.00;6.00
D;15.00;4;1.00;2.00;0.00;3.00;24.00
C;16.00;4;1.00;3.00;0.00;3.00;0.00
C;16.00;4;2.00;1.00;0.00;3.00;4.00
C;15.00;5;1.00;3.00;0.00;2.00;2.00
C;16.00;1;1.00;1.00;0.00;4.00;4.00
E;17.00;3;1.00;1.00;0.00;4.00;22.00
C;15.00;3;1.00;2.00;0.00;4.00;0.00
C;15.00;1;2.00;1.00;0.00;4.00;0.00
C;15.00;2;1.00;2.00;1.00;3.00;2.00
C;15.00;1;1.00;2.00;0.00;3.00;6.00
C;15.00;1;1.00;2.00;0.00;3.00;6.00
D;16.00;5;1.00;1.00;0.00;3.00;16.00
C;15.00;4;4.00;1.00;0.00;5.00;0.00
E;18.00;3;1.00;1.00;2.00;3.00;0.00
D;16.00;1;1.00;1.00;1.00;4.00;6.00
C;15.00;4;2.00;3.00;0.00;2.00;2.00
C;19.00;4;1.00;1.00;0.00;5.00;6.00
C;17.00;3;1.00;1.00;0.00;2.00;0.00
E;15.00;1;1.00;2.00;0.00;4.00;0.00
D;17.00;3;1.00;1.00;3.00;2.00;14.00
C;18.00;1;3.00;1.00;3.00;2.00;6.00
C;16.00;1;3.00;1.00;0.00;2.00;4.00
E;16.00;3;1.00;2.00;1.00;5.00;0.00
D;16.00;2;2.00;1.00;2.00;4.00;0.00
D;17.00;1;2.00;1.00;1.00;3.00;8.00
E;17.00;3;2.00;2.00;2.00;4.00;4.00
D;15.00;3;2.00;1.00;0.00;4.00;2.00
D;16.00;1;1.00;1.00;1.00;3.00;2.00
D;17.00;3;4.00;2.00;0.00;3.00;0.00
E;17.00;4;2.00;1.00;3.00;5.00;10.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
A;16.00;2;1.00;2.00;0.00;2.00;0.00
C;16.00;3;1.00;2.00;0.00;1.00;0.00
A;16.00;2;1.00;2.00;0.00;4.00;0.00
D;16.00;3;3.00;1.00;1.00;4.00;4.00
A;16.00;3;2.00;2.00;0.00;3.00;0.00
C;17.00;5;1.00;2.00;0.00;4.00;0.00
C;16.00;1;1.00;2.00;0.00;3.00;0.00
B;16.00;3;2.00;2.00;0.00;4.00;0.00
C;17.00;5;2.00;2.00;0.00;4.00;0.00
C;16.00;4;2.00;2.00;0.00;4.00;0.00
C;17.00;3;1.00;2.00;0.00;3.00;4.00
C;16.00;5;1.00;1.00;0.00;3.00;8.00
C;17.00;3;1.00;2.00;0.00;2.00;4.00
C;16.00;5;1.00;2.00;0.00;4.00;4.00
C;16.00;4;1.00;2.00;0.00;2.00;0.00
A;17.00;4;1.00;2.00;0.00;4.00;0.00
C;17.00;3;1.00;2.00;0.00;3.00;32.00
B;16.00;3;1.00;2.00;0.00;2.00;8.00
C;17.00;4;1.00;2.00;0.00;3.00;6.00
C;16.00;4;1.00;1.00;0.00;3.00;0.00
B;16.00;3;1.00;2.00;0.00;2.00;0.00
C;17.00;2;1.00;2.00;0.00;3.00;10.00
D;17.00;1;1.00;2.00;0.00;1.00;6.00
C;16.00;4;1.00;2.00;0.00;3.00;6.00
C;17.00;1;1.00;2.00;0.00;3.00;0.00
C;17.00;1;2.00;2.00;0.00;4.00;16.00
C;16.00;4;1.00;1.00;0.00;3.00;0.00
C;16.00;3;2.00;1.00;0.00;3.00;0.00
B;17.00;4;1.00;2.00;0.00;3.00;8.00
C;17.00;4;1.00;1.00;0.00;2.00;4.00
C;16.00;5;3.00;1.00;0.00;3.00;16.00
B;17.00;4;2.00;1.00;1.00;2.00;30.00
C;16.00;5;1.00;2.00;0.00;5.00;0.00
B;16.00;2;1.00;2.00;0.00;3.00;2.00
C;16.00;3;1.00;2.00;0.00;4.00;4.00
B;17.00;3;1.00;2.00;0.00;4.00;0.00
C;17.00;3;1.00;1.00;0.00;3.00;21.00
C;16.00;4;2.00;4.00;0.00;3.00;6.00
D;17.00;1;1.00;3.00;1.00;4.00;14.00
C;16.00;4;1.00;2.00;0.00;3.00;2.00
B;16.00;5;1.00;2.00;0.00;3.00;4.00
C;16.00;1;2.00;1.00;0.00;3.00;2.00
C;17.00;5;2.00;3.00;0.00;4.00;0.00
C;19.00;3;1.00;4.00;0.00;3.00;4.00
C;17.00;4;1.00;2.00;0.00;3.00;15.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;18.00;4;1.00;2.00;0.00;4.00;10.00
C;17.00;4;1.00;1.00;0.00;2.00;6.00
B;17.00;3;2.00;2.00;0.00;4.00;2.00
C;17.00;3;1.00;2.00;0.00;4.00;16.00
C;18.00;4;1.00;2.00;0.00;2.00;10.00
C;17.00;1;2.00;1.00;0.00;3.00;4.00
C;17.00;1;1.00;3.00;0.00;3.00;0.00
C;17.00;1;2.00;2.00;0.00;2.00;0.00
C;17.00;1;1.00;3.00;0.00;3.00;12.00
C;16.00;4;1.00;2.00;0.00;3.00;0.00
D;18.00;3;2.00;2.00;3.00;3.00;9.00
B;16.00;5;1.00;3.00;0.00;3.00;4.00
D;18.00;3;1.00;2.00;0.00;3.00;4.00
A;17.00;3;1.00;2.00;0.00;3.00;2.00
C;17.00;4;1.00;2.00;0.00;3.00;0.00
C;18.00;1;4.00;2.00;0.00;3.00;2.00
B;17.00;3;2.00;3.00;0.00;2.00;0.00
C;17.00;2;1.00;2.00;0.00;2.00;0.00
C;17.00;3;2.00;2.00;0.00;5.00;0.00
C;17.00;5;1.00;2.00;0.00;5.00;0.00
C;16.00;2;1.00;2.00;0.00;2.00;0.00
D;16.00;3;2.00;2.00;0.00;4.00;2.00
C;16.00;1;2.00;3.00;0.00;3.00;0.00
A;17.00;3;1.00;2.00;0.00;4.00;0.00
D;16.00;3;1.00;1.00;0.00;5.00;4.00
C;16.00;3;1.00;2.00;0.00;3.00;0.00
C;18.00;4;2.00;2.00;1.00;3.00;18.00
D;18.00;1;1.00;2.00;1.00;3.00;16.00
E;18.00;3;2.00;1.00;1.00;1.00;14.00
E;18.00;3;1.00;1.00;1.00;4.00;26.00
D;17.00;5;1.00;1.00;0.00;2.00;6.00
B;17.00;3;1.00;2.00;0.00;4.00;4.00
C;17.00;1;1.00;3.00;0.00;3.00;10.00
C;16.00;3;1.00;1.00;0.00;3.00;4.00
C;17.00;1;3.00;2.00;0.00;1.00;2.00
D;17.00;3;4.00;1.00;1.00;5.00;14.00
E;18.00;3;1.00;2.00;0.00;5.00;16.00
C;17.00;3;1.00;1.00;1.00;1.00;8.00
B;17.00;1;2.00;3.00;0.00;3.00;4.00
B;17.00;5;1.00;2.00;0.00;3.00;4.00
B;17.00;2;2.00;2.00;0.00;5.00;8.00
C;17.00;5;2.00;2.00;0.00;3.00;0.00
B;16.00;5;1.00;1.00;0.00;4.00;7.00
B;16.00;4;1.00;1.00;0.00;3.00;4.00
C;17.00;5;1.00;2.00;0.00;3.00;2.00
B;17.00;3;2.00;3.00;0.00;3.00;2.00
C;17.00;4;2.00;3.00;0.00;2.00;10.00
D;17.00;1;1.00;2.00;0.00;3.00;10.00
C;18.00;3;2.00;3.00;0.00;4.00;10.00
B;16.00;3;3.00;1.00;0.00;3.00;7.00
C;17.00;3;1.00;2.00;0.00;3.00;4.00
C;17.00;3;2.00;1.00;0.00;2.00;2.00
E;22.00;4;1.00;1.00;3.00;4.00;12.00
D;18.00;3;1.00;2.00;0.00;3.00;8.00
C;16.00;3;1.00;1.00;0.00;3.00;0.00
E;18.00;4;2.00;1.00;0.00;4.00;8.00
C;16.00;1;3.00;2.00;1.00;3.00;4.00
E;18.00;4;1.00;1.00;2.00;2.00;4.00
C;16.00;3;2.00;1.00;0.00;3.00;2.00
C;17.00;3;1.00;1.00;0.00;4.00;0.00
D;17.00;2;2.00;1.00;1.00;4.00;0.00
C;18.00;3;1.00;2.00;0.00;3.00;2.00
B;17.00;5;1.00;4.00;0.00;2.00;2.00
C;19.00;4;1.00;2.00;0.00;3.00;0.00
C;18.00;4;3.00;2.00;1.00;4.00;4.00
C;17.00;3;1.00;3.00;0.00;3.00;2.00
C;18.00;3;1.00;3.00;0.00;4.00;4.00
C;18.00;3;1.00;2.00;0.00;2.00;4.00
C;19.00;4;1.00;2.00;0.00;3.00;4.00
A;18.00;3;1.00;2.00;0.00;2.00;2.00
D;17.00;3;2.00;1.00;0.00;2.00;0.00
C;17.00;4;1.00;4.00;0.00;4.00;2.00
C;20.00;3;2.00;2.00;0.00;2.00;8.00
B;18.00;4;1.00;2.00;0.00;1.00;2.00
C;18.00;5;1.00;2.00;0.00;3.00;2.00
C;18.00;3;1.00;3.00;0.00;3.00;2.00
C;17.00;3;1.00;3.00;0.00;2.00;2.00
C;18.00;1;1.00;3.00;0.00;3.00;0.00
D;17.00;3;2.00;1.00;0.00;4.00;8.00
B;18.00;3;2.00;2.00;0.00;2.00;6.00
C;17.00;4;1.00;2.00;0.00;4.00;0.00
C;18.00;5;2.00;2.00;0.00;3.00;8.00
C;18.00;2;1.00;2.00;0.00;4.00;4.00
D;18.00;3;2.00;2.00;0.00;3.00;12.00
C;19.00;3;1.00;2.00;0.00;3.00;16.00
A;18.00;3;1.00;4.00;0.00;5.00;10.00
C;18.00;3;2.00;2.00;0.00;4.00;2.00
A;17.00;1;1.00;2.00;0.00;5.00;2.00
B;18.00;3;1.00;2.00;0.00;2.00;8.00
B;17.00;1;2.00;2.00;0.00;3.00;6.00
C;17.00;4;2.00;2.00;0.00;4.00;6.00
C;18.00;3;2.00;2.00;0.00;1.00;15.00
C;18.00;5;2.00;1.00;0.00;2.00;6.00
C;18.00;2;1.00;2.00;1.00;4.00;2.00
B;17.00;3;3.00;3.00;0.00;2.00;8.00
D;19.00;4;1.00;2.00;1.00;3.00;0.00
C;18.00;5;2.00;1.00;0.00;2.00;0.00
C;18.00;1;2.00;1.00;0.00;4.00;10.00
C;17.00;4;2.00;1.00;0.00;5.00;22.00
C;17.00;5;1.00;1.00;0.00;4.00;18.00
A;18.00;1;2.00;4.00;0.00;2.00;2.00
C;18.00;3;2.00;2.00;0.00;4.00;0.00
C;17.00;3;1.00;2.00;0.00;4.00;12.00
C;18.00;3;2.00;2.00;0.00;3.00;10.00
C;17.00;3;1.00;2.00;0.00;3.00;0.00
A;18.00;1;1.00;3.00;0.00;3.00;0.00
C;17.00;4;1.00;3.00;0.00;3.00;0.00
B;18.00;4;1.00;3.00;0.00;2.00;0.00
A;18.00;5;1.00;2.00;0.00;4.00;0.00
B;18.00;5;1.00;2.00;0.00;3.00;2.00
A;17.00;2;1.00;3.00;0.00;2.00;0.00
A;17.00;4;2.00;4.00;0.00;1.00;0.00
B;18.00;4;2.00;3.00;0.00;4.00;0.00
B;17.00;2;1.00;1.00;0.00;4.00;0.00
C;19.00;2;2.00;2.00;0.00;3.00;2.00
C;18.00;3;2.00;2.00;0.00;4.00;0.00
A;18.00;3;1.00;4.00;0.00;3.00;0.00
A;18.00;5;1.00;1.00;0.00;4.00;0.00
B;18.00;2;1.00;2.00;0.00;2.00;0.00
