IQ;age;Mjob;traveltime;studytime;failures;freetime;absences;avgscore;Mjob
B;17;at_home;1;2;0;3;4;7.33;1
C;17;other;2;2;0;2;0;6.5;3
D;18;at_home;2;2;0;3;0;4.5;1
B;18;teacher;2;3;0;2;0;7.83;5
D;17;other;3;1;1;2;0;4.17;3
C;18;at_home;2;1;0;2;0;5;1
E;18;other;3;2;0;2;0;2;3
D;18;at_home;3;1;0;3;3;4.83;1
C;17;engineer;1;3;0;4;8;5.5;6
D;17;other;1;1;0;5;4;4;3
A;18;engineer;2;3;0;4;0;8.17;6
C;18;engineer;4;3;0;3;4;5.5;6
D;19;at_home;2;2;1;3;4;4;1
C;18;teacher;1;2;0;4;1;6.83;5
A;18;other;1;2;0;1;1;8;3
D;17;at_home;1;2;0;5;10;4.33;1
A;18;teacher;1;2;0;2;4;9;5
E;18;other;2;1;0;4;0;2.33;3
B;17;other;2;2;0;4;4;7.5;3
E;19;other;2;1;1;3;0;2.17;3
E;18;other;2;1;1;4;0;2.33;3
B;18;at_home;2;3;0;3;0;7.67;1
D;17;teacher;2;2;0;5;0;4.33;5
D;18;teacher;3;1;0;4;4;4.33;5
C;19;services;1;3;1;4;4;5.17;4
B;18;teacher;1;2;0;3;4;7.67;5
C;18;other;2;2;0;1;6;5.33;3
C;17;services;2;1;0;4;6;5;4
C;18;services;3;1;0;4;4;5.33;4
E;18;at_home;2;2;0;3;4;3.67;1
C;17;at_home;1;2;0;3;2;5.17;1
C;15;at_home;1;2;0;3;6;6.17;1
B;15;health;1;3;0;2;0;7;2
C;16;other;1;2;0;3;0;6.17;3
C;16;services;1;2;0;4;6;6.17;4
C;16;other;1;2;0;4;0;6.33;3
C;17;other;2;2;0;1;2;6;3
A;15;services;1;2;0;2;0;8;4
C;15;other;1;2;0;5;0;6.17;3
B;15;teacher;1;2;0;3;2;7;5
C;15;services;3;3;0;2;0;5.83;4
C;15;health;1;1;0;3;0;6.17;2
C;15;teacher;2;2;0;4;0;6.17;5
B;15;engineer;1;3;0;5;0;7.17;6
A;16;health;1;1;0;4;6;8.5;2
C;16;services;1;3;0;2;10;6.67;4
C;16;other;3;2;0;3;2;6.83;3
E;17;services;1;1;3;5;2;3.83;4
C;16;health;1;1;0;1;6;6;2
C;15;teacher;1;2;0;4;0;6.5;5
C;15;health;1;1;0;4;0;5.83;2
C;16;teacher;1;2;0;5;0;6.5;5
C;16;other;2;2;0;4;2;5;3
C;15;services;1;3;0;3;2;5.17;4
C;16;services;1;1;0;2;6;5.5;4
C;15;other;1;1;0;2;8;5.83;3
C;15;health;1;1;0;2;0;5.5;2
C;16;services;1;2;0;3;2;6.17;4
C;16;teacher;1;2;0;4;4;5.83;5
C;15;health;1;2;0;4;0;5.33;2
B;15;services;2;2;0;3;2;7.5;4
B;15;teacher;1;2;0;5;0;7;5
C;15;other;1;2;0;3;0;6.17;3
C;16;other;1;1;0;4;4;6;3
C;15;other;2;1;0;5;4;5.5;3
B;15;teacher;1;3;0;4;0;7;5
C;16;engineer;2;3;0;4;4;6.5;6
C;15;services;1;3;0;3;2;5.83;4
C;15;at_home;1;1;0;3;8;6.5;1
C;16;other;2;2;0;3;16;5.33;3
C;15;teacher;1;1;0;4;8;5.33;5
B;15;services;1;2;0;3;0;7.33;4
D;15;services;1;1;0;4;0;4.83;4
C;16;other;2;2;1;3;14;5.33;3
C;15;other;1;2;0;2;4;5.33;3
C;16;other;1;2;0;3;6;6.33;3
A;16;health;1;4;0;2;2;8.5;2
C;15;teacher;1;2;0;3;4;6;5
C;15;services;1;2;0;4;2;6.17;4
C;16;services;3;2;0;3;0;6.67;4
B;15;health;1;2;0;3;0;7.67;2
D;15;health;2;1;0;5;4;4.67;2
C;15;services;1;1;0;3;0;6.17;4
C;15;other;1;1;0;3;0;6.33;3
C;16;other;1;2;0;3;2;6.17;3
B;15;services;1;2;0;3;0;7.33;4
B;15;teacher;1;2;0;2;8;7.67;5
C;15;other;1;2;0;3;0;6.83;3
B;16;services;1;2;0;2;2;7.83;4
A;16;health;1;2;0;4;0;8.17;2
C;16;services;4;1;0;5;0;6;4
C;16;other;1;2;0;4;0;6;3
C;16;teacher;1;3;0;4;0;6.67;5
C;15;services;1;2;0;4;0;6.17;4
B;16;teacher;3;2;0;4;2;7.83;5
C;15;engineer;1;4;0;3;0;5.83;6
D;16;services;1;4;0;3;0;4.83;4
C;15;health;2;2;0;1;0;5.33;2
B;15;engineer;2;4;0;4;6;7.5;6
C;16;engineer;2;4;0;3;2;5.83;6
C;15;engineer;1;4;0;3;0;5;6
C;15;other;1;2;0;3;2;5.83;3
C;16;other;1;1;0;3;0;6.67;3
C;16;other;1;2;0;3;4;5.5;3
C;15;teacher;1;2;0;3;0;5.5;5
C;15;teacher;2;4;0;4;0;5.67;5
C;16;engineer;1;4;0;2;1;6.5;6
D;17;other;2;1;3;5;0;4.67;3
C;16;at_home;1;2;0;4;14;5.67;1
C;15;other;1;1;0;2;0;5.67;3
D;15;engineer;1;3;0;3;2;4.67;6
C;15;services;1;2;0;4;4;5.67;4
C;15;services;2;2;0;3;2;6.33;4
C;15;other;1;2;0;3;2;6.17;3
C;15;services;2;2;0;4;4;5.83;4
C;16;at_home;1;2;0;3;6;5.83;1
B;15;engineer;1;3;0;3;4;7.5;6
C;16;services;2;2;0;4;6;5.5;4
D;16;teacher;1;2;0;1;6;4.67;5
C;16;engineer;1;3;0;3;2;5.17;6
C;15;services;1;1;0;5;6;6.67;4
C;16;other;1;2;0;3;0;6.17;3
C;16;teacher;2;2;0;3;2;6.83;5
C;15;services;1;4;0;3;2;5.83;4
C;15;at_home;2;4;0;1;4;6.5;1
C;16;services;2;1;0;3;6;5.17;4
C;16;other;1;2;0;3;0;6.17;3
C;16;other;1;1;0;3;4;6.33;3
C;16;engineer;1;3;0;3;2;6.33;6
D;16;services;1;1;0;5;12;4.33;4
A;16;services;1;3;0;4;0;8;4
C;15;services;1;1;0;3;2;6.17;4
C;15;services;2;2;0;3;16;5.17;4
A;15;services;1;2;0;4;0;8;4
C;15;engineer;1;4;0;3;10;5;6
C;15;other;1;4;0;1;4;5;3
C;16;services;1;3;0;3;4;6.83;4
C;15;other;4;4;0;3;8;5.5;3
B;16;health;1;3;0;4;2;7.33;2
C;15;teacher;1;1;0;5;4;6.83;5
C;16;services;1;3;0;1;4;5.5;4
D;16;at_home;1;2;1;1;12;4.67;1
A;15;teacher;1;1;0;5;10;8.83;5
D;15;health;1;2;0;4;4;4.83;2
B;16;teacher;1;2;0;4;6;7.33;5
B;15;other;2;2;0;4;4;7.83;3
B;16;other;2;1;0;4;6;7.17;3
C;17;other;3;2;1;2;14;5.67;3
C;15;other;1;1;0;4;2;6.83;3
B;15;at_home;1;2;0;2;0;7;1
C;15;services;1;4;0;5;6;6.67;4
C;16;other;2;2;0;2;2;6.5;3
C;16;health;1;1;0;4;4;6.33;2
C;16;other;1;2;0;4;0;5.67;3
D;15;services;1;1;0;5;2;4.5;4
C;15;other;1;2;0;3;0;5.33;3
C;19;at_home;1;2;2;4;0;5;1
B;16;teacher;1;1;0;5;8;7.17;5
C;16;other;2;3;0;2;4;6.33;3
C;15;services;2;3;0;2;0;5.5;4
D;18;services;1;2;3;4;10;4.5;4
C;17;other;3;1;0;2;8;5.33;3
C;15;at_home;3;1;0;3;6;6;1
C;17;other;1;1;0;4;2;6.17;3
B;16;services;1;1;0;2;12;7;4
D;16;at_home;4;1;0;2;4;4.83;1
C;16;other;1;1;1;3;12;5.83;3
C;15;at_home;4;2;0;3;2;5.67;1
B;15;services;1;3;0;3;4;7;4
D;17;at_home;3;2;0;4;2;4.83;1
C;16;at_home;4;2;0;1;0;6.67;1
C;18;services;2;1;0;3;2;5.67;4
C;18;other;1;3;0;3;10;5.67;3
C;16;other;2;1;0;3;8;5.67;3
D;16;other;2;1;0;3;4;4.67;3
C;16;services;1;2;2;4;0;5;4
C;15;teacher;2;1;0;3;6;6.83;5
D;15;other;3;1;1;5;2;4.33;3
C;15;teacher;2;4;0;2;6;5.17;5
D;15;services;1;2;0;3;24;4.33;4
C;16;services;1;3;0;3;0;6.83;4
C;16;services;2;1;0;3;4;5.67;4
C;15;teacher;1;3;0;2;2;6.5;5
C;16;at_home;1;1;0;4;4;5.33;1
E;17;other;1;1;0;4;22;3.67;3
C;15;other;1;2;0;4;0;6;3
C;15;at_home;2;1;0;4;0;5.17;1
C;15;health;1;2;1;3;2;5.5;2
C;15;at_home;1;2;0;3;6;6.33;1
C;15;at_home;1;2;0;3;6;5.5;1
D;16;teacher;1;1;0;3;16;4.33;5
C;15;services;4;1;0;5;0;5.67;4
E;18;other;1;1;2;3;0;3.33;3
D;16;at_home;1;1;1;4;6;4.83;1
C;15;services;2;3;0;2;2;6.5;4
C;19;services;1;1;0;5;6;5.17;4
C;17;other;1;1;0;2;0;6.5;3
E;15;at_home;1;2;0;4;0;3.83;1
D;17;other;1;1;3;2;14;4.5;3
C;18;at_home;3;1;3;2;6;5.33;1
C;16;at_home;3;1;0;2;4;5.5;1
E;16;other;1;2;1;5;0;3.5;3
D;16;health;2;1;2;4;0;4.5;2
D;17;at_home;2;1;1;3;8;4.17;1
E;17;other;2;2;2;4;4;3.5;3
D;15;other;2;1;0;4;2;4.5;3
D;16;at_home;1;1;1;3;2;4.17;1
D;17;other;4;2;0;3;0;4;3
E;17;services;2;1;3;5;10;3.83;4
C;16;other;1;2;0;3;0;5;3
A;16;health;1;2;0;2;0;8.67;2
C;16;other;1;2;0;1;0;6.17;3
A;16;health;1;2;0;4;0;8.17;2
D;16;other;3;1;1;4;4;4.67;3
A;16;other;2;2;0;3;0;8.5;3
C;17;teacher;1;2;0;4;0;5;5
C;16;at_home;1;2;0;3;0;6.67;1
B;16;other;2;2;0;4;0;7.17;3
C;17;teacher;2;2;0;4;0;5.33;5
C;16;services;2;2;0;4;0;6.5;4
C;17;other;1;2;0;3;4;5;3
C;16;teacher;1;1;0;3;8;5;5
C;17;other;1;2;0;2;4;5.83;3
C;16;teacher;1;2;0;4;4;5.33;5
C;16;services;1;2;0;2;0;6;4
A;17;services;1;2;0;4;0;8.67;4
C;17;other;1;2;0;3;32;6.83;3
B;16;other;1;2;0;2;8;7.5;3
C;17;services;1;2;0;3;6;6.33;4
C;16;services;1;1;0;3;0;5;4
B;16;other;1;2;0;2;0;7.17;3
C;17;health;1;2;0;3;10;6.5;2
D;17;at_home;1;2;0;1;6;4.67;1
C;16;services;1;2;0;3;6;6.17;4
C;17;at_home;1;2;0;3;0;5.83;1
C;17;at_home;2;2;0;4;16;5.5;1
C;16;services;1;1;0;3;0;5.17;4
C;16;other;2;1;0;3;0;6.17;3
B;17;services;1;2;0;3;8;7.5;4
C;17;services;1;1;0;2;4;6.67;4
C;16;teacher;3;1;0;3;16;5.5;5
B;17;services;2;1;1;2;30;7.5;4
C;16;teacher;1;2;0;5;0;5.33;5
B;16;health;1;2;0;3;2;7.17;2
C;16;other;1;2;0;4;4;5.83;3
B;17;other;1;2;0;4;0;7.33;3
C;17;other;1;1;0;3;21;6.5;3
C;16;services;2;4;0;3;6;6.5;4
D;17;at_home;1;3;1;4;14;4.17;1
C;16;services;1;2;0;3;2;5.67;4
B;16;teacher;1;2;0;3;4;7.33;5
C;16;at_home;2;1;0;3;2;6.33;1
C;17;teacher;2;3;0;4;0;5.83;5
C;19;other;1;4;0;3;4;6;3
C;17;services;1;2;0;3;15;6.17;4
C;16;other;1;2;0;3;0;6.5;3
C;18;services;1;2;0;4;10;5.67;4
C;17;services;1;1;0;2;6;5.67;4
B;17;other;2;2;0;4;2;7.5;3
C;17;other;1;2;0;4;16;5;3
C;18;services;1;2;0;2;10;5;4
C;17;at_home;2;1;0;3;4;6.33;1
C;17;at_home;1;3;0;3;0;6.17;1
C;17;at_home;2;2;0;2;0;5.33;1
C;17;at_home;1;3;0;3;12;6;1
C;16;services;1;2;0;3;0;6.67;4
D;18;other;2;2;3;3;9;4.83;3
B;16;teacher;1;3;0;3;4;7.83;5
D;18;other;1;2;0;3;4;4;3
A;17;other;1;2;0;3;2;8.67;3
C;17;services;1;2;0;3;0;5.33;4
C;18;at_home;4;2;0;3;2;5;1
B;17;other;2;3;0;2;0;7.67;3
C;17;health;1;2;0;2;0;6.33;2
C;17;other;2;2;0;5;0;6.33;3
C;17;teacher;1;2;0;5;0;6.5;5
C;16;health;1;2;0;2;0;6.67;2
D;16;other;2;2;0;4;2;4.5;3
C;16;at_home;2;3;0;3;0;6;1
A;17;other;1;2;0;4;0;8;3
D;16;other;1;1;0;5;4;4.83;3
C;16;other;1;2;0;3;0;6.67;3
C;18;services;2;2;1;3;18;5;4
D;18;at_home;1;2;1;3;16;4.5;1
E;18;other;2;1;1;1;14;3.67;3
E;18;other;1;1;1;4;26;3.83;3
D;17;teacher;1;1;0;2;6;4.5;5
B;17;other;1;2;0;4;4;7.17;3
C;17;at_home;1;3;0;3;10;5.17;1
C;16;other;1;1;0;3;4;5.67;3
C;17;at_home;3;2;0;1;2;6.5;1
D;17;other;4;1;1;5;14;4.33;3
E;18;other;1;2;0;5;16;3.83;3
C;17;other;1;1;1;1;8;5;3
B;17;at_home;2;3;0;3;4;7.33;1
B;17;teacher;1;2;0;3;4;7.17;5
B;17;health;2;2;0;5;8;7.5;2
C;17;teacher;2;2;0;3;0;6;5
B;16;teacher;1;1;0;4;7;7.17;5
B;16;services;1;1;0;3;4;7.33;4
C;17;teacher;1;2;0;3;2;5.67;5
B;17;other;2;3;0;3;2;7;3
C;17;services;2;3;0;2;10;5.5;4
D;17;at_home;1;2;0;3;10;4.83;1
C;18;other;2;3;0;4;10;5.5;3
B;16;other;3;1;0;3;7;7.83;3
C;17;other;1;2;0;3;4;5.33;3
C;17;other;2;1;0;2;2;5.67;3
E;22;services;1;1;3;4;12;3.33;4
D;18;other;1;2;0;3;8;4.83;3
C;16;other;1;1;0;3;0;5.67;3
E;18;services;2;1;0;4;8;3.67;4
C;16;at_home;3;2;1;3;4;5;1
E;18;services;1;1;2;2;4;3.5;4
C;16;other;2;1;0;3;2;6.5;3
C;17;other;1;1;0;4;0;6.17;3
D;17;health;2;1;1;4;0;4.83;2
C;18;other;1;2;0;3;2;6.17;3
B;17;teacher;1;4;0;2;2;7.67;5
C;19;services;1;2;0;3;0;5.17;4
C;18;services;3;2;1;4;4;5.33;4
C;17;other;1;3;0;3;2;6.17;3
C;18;other;1;3;0;4;4;6.17;3
C;18;other;1;2;0;2;4;5.83;3
C;19;services;1;2;0;3;4;6.33;4
A;18;other;1;2;0;2;2;8;3
D;17;other;2;1;0;2;0;4.83;3
C;17;services;1;4;0;4;2;5.5;4
C;20;other;2;2;0;2;8;5.67;3
B;18;services;1;2;0;1;2;7.5;4
C;18;teacher;1;2;0;3;2;5.17;5
C;18;other;1;3;0;3;2;5.5;3
C;17;other;1;3;0;2;2;6.67;3
C;18;at_home;1;3;0;3;0;6;1
D;17;other;2;1;0;4;8;4.17;3
B;18;other;2;2;0;2;6;7.83;3
C;17;services;1;2;0;4;0;6;4
C;18;teacher;2;2;0;3;8;5.5;5
C;18;health;1;2;0;4;4;6;2
D;18;other;2;2;0;3;12;4.5;3
C;19;other;1;2;0;3;16;5.83;3
A;18;other;1;4;0;5;10;8;3
C;18;other;2;2;0;4;2;6.5;3
A;17;at_home;1;2;0;5;2;8.5;1
B;18;other;1;2;0;2;8;7.17;3
B;17;at_home;2;2;0;3;6;7.83;1
C;17;services;2;2;0;4;6;6;4
C;18;other;2;2;0;1;15;5.17;3
C;18;teacher;2;1;0;2;6;5.83;5
C;18;health;1;2;1;4;2;6.5;2
B;17;other;3;3;0;2;8;7.17;3
D;19;services;1;2;1;3;0;4.5;4
C;18;teacher;2;1;0;2;0;5;5
C;18;at_home;2;1;0;4;10;5.17;1
C;17;services;2;1;0;5;22;5.33;4
C;17;teacher;1;1;0;4;18;6.5;5
A;18;at_home;2;4;0;2;2;8.67;1
C;18;other;2;2;0;4;0;6.33;3
C;17;other;1;2;0;4;12;6.33;3
C;18;other;2;2;0;3;10;6.5;3
C;17;other;1;2;0;3;0;6;3
A;18;at_home;1;3;0;3;0;9;1
C;17;services;1;3;0;3;0;6.67;4
B;18;services;1;3;0;2;0;7.33;4
A;18;teacher;1;2;0;4;0;8.5;5
B;18;teacher;1;2;0;3;2;7.83;5
A;17;health;1;3;0;2;0;8.83;2
A;17;services;2;4;0;1;0;9.33;4
B;18;services;2;3;0;4;0;7.33;4
B;17;health;1;1;0;4;0;7.33;2
C;19;health;2;2;0;3;2;6.67;2
C;18;other;2;2;0;4;0;6.83;3
A;18;other;1;4;0;3;0;8.33;3
A;18;teacher;1;1;0;4;0;8.83;5
B;18;health;1;2;0;2;0;7.33;2
C;17;other;2;1;0;1;0;6.33;3
E;17;services;2;3;0;3;0;3.67;4
A;17;other;2;3;0;3;0;8;3
A;17;health;1;4;0;2;0;9;2
C;19;at_home;2;3;1;3;0;5;1
B;20;services;1;1;2;5;0;7.33;4
C;19;other;1;2;0;5;0;5.17;3
C;18;other;1;2;0;4;2;5.17;3
C;18;services;2;2;0;3;2;6.5;4
C;17;other;2;2;0;2;2;6.17;3
A;17;teacher;1;1;0;4;2;8;5
B;18;other;1;3;0;3;2;7.67;3
C;18;health;2;1;0;2;8;6.5;2
B;17;at_home;1;3;0;3;2;7.83;1
C;18;at_home;1;2;0;1;8;6.17;1
C;19;health;2;2;0;4;9;5.17;2
C;18;teacher;1;2;0;4;0;6;5
C;18;other;1;1;0;4;4;6.17;3
B;17;health;1;1;0;3;2;7.67;2
B;17;services;1;2;0;2;14;7.67;4
C;17;services;1;2;0;3;0;6.17;4
C;17;other;1;2;0;2;2;6.17;3
D;18;other;1;1;0;2;2;4.67;3
C;19;other;3;3;0;5;12;5.17;3
D;19;other;3;2;2;3;2;4.17;3
C;18;other;1;1;0;3;2;5;3
C;17;other;1;2;0;2;4;6.67;3
C;17;services;1;3;0;3;0;5.33;4
A;17;services;1;3;0;4;0;8.67;4
B;17;at_home;2;3;0;3;0;7.17;1
B;18;other;2;3;0;5;0;7;3
C;18;other;1;3;0;3;0;6.67;3
A;17;other;1;1;0;3;0;8.67;3
C;17;services;4;1;0;4;2;5.17;4
C;17;teacher;1;3;0;4;0;6.33;5
B;17;teacher;2;3;0;3;4;7.33;5
C;17;at_home;1;1;0;2;2;5.67;1
C;18;other;1;4;0;5;0;5.67;3
C;19;at_home;1;1;0;3;0;5.17;1
D;18;at_home;4;2;0;2;2;4.83;1
B;17;at_home;1;3;0;4;0;7.5;1
B;18;other;1;1;0;4;6;7.33;3
C;18;services;1;2;0;3;8;5.5;4
C;18;other;1;2;0;3;0;5.17;3
C;18;at_home;2;4;0;4;6;6.83;1
C;17;services;1;3;0;4;8;6.33;4
C;17;other;1;2;0;3;0;6.67;3
B;18;services;1;4;0;3;4;7.17;4
B;17;other;1;2;0;3;0;7.33;3
C;18;teacher;1;2;0;3;0;6.17;5
A;18;services;1;2;0;3;6;8.17;4
C;17;at_home;1;2;0;3;18;6;1
C;18;at_home;1;3;0;3;0;6.17;1
B;18;other;1;3;0;4;4;7.83;3
B;18;teacher;1;3;0;3;4;7.67;5
C;18;teacher;1;3;0;4;0;6.83;5
C;17;health;1;3;0;4;0;6;2
B;17;services;2;2;0;3;10;7;4
B;17;services;1;2;0;3;4;7.33;4
C;19;at_home;2;1;1;2;16;5.33;1
C;17;other;1;1;1;1;6;6;3
C;21;other;1;3;2;3;0;5.5;3
C;18;services;1;2;0;4;11;5.33;4
B;18;other;1;2;0;3;9;7;3
B;17;services;1;2;0;3;0;7.83;4
B;17;health;1;3;0;4;2;7;2
A;18;teacher;1;2;0;2;0;8;5
D;21;at_home;2;2;2;3;21;4.83;1
C;20;other;2;3;0;2;8;6.83;3
C;19;teacher;1;1;1;2;5;5;5
A;17;other;1;2;0;4;10;8.67;3
A;18;at_home;1;3;0;3;5;8;1
C;18;other;1;1;0;1;13;6.83;3
D;19;other;1;1;0;3;10;4.83;3
A;18;services;2;2;0;1;10;8;4
D;20;other;2;1;1;3;5;4.67;3
C;18;services;1;2;0;1;4;6;4
C;16;at_home;2;1;0;3;11;5.33;1
C;16;other;2;2;0;4;0;6;3
C;15;at_home;1;1;1;1;6;5;1
C;15;at_home;2;1;0;4;4;5.17;1
A;16;at_home;2;2;0;5;0;8.33;1
E;15;at_home;2;1;0;3;0;3.83;1
C;16;at_home;1;2;0;3;5;5.33;1
C;16;other;1;3;0;4;0;5.33;3
C;17;at_home;1;2;1;5;0;5;1
E;17;other;1;1;1;4;0;3.17;3
C;15;teacher;2;1;0;5;0;6.83;5
C;16;at_home;2;4;0;2;4;5;1
C;15;at_home;2;2;0;4;0;5;1
E;15;other;2;1;1;4;4;3.5;3
C;16;other;2;1;0;2;0;5.83;3
C;17;other;2;1;0;5;2;5.5;3
B;15;other;2;1;0;1;0;7.67;3
F;16;at_home;2;2;0;4;0;1.17;1
D;17;other;1;2;0;4;4;4.33;3
C;15;health;1;2;0;3;0;6.5;2
D;15;health;1;2;0;3;7;4;2
C;16;other;3;2;0;4;4;5;3
D;15;other;4;2;0;4;8;4.17;3
C;15;at_home;1;2;0;3;0;5.5;1
D;17;other;3;1;0;5;8;4.5;3
A;16;teacher;2;3;0;2;6;8.17;5
C;15;other;2;1;0;1;3;6.17;3
B;16;other;3;2;0;5;2;7.5;3
C;16;other;2;2;0;3;0;5.33;3
C;16;other;3;2;0;4;4;5;3
D;16;other;1;3;1;3;0;4.33;3
D;16;other;1;3;1;3;3;4.17;3
D;15;at_home;1;2;0;4;0;4.67;1
B;16;at_home;1;2;0;4;0;7;1
C;17;at_home;1;1;0;5;4;5.33;1
C;16;other;4;4;0;3;0;6;3
D;16;at_home;4;3;0;4;2;4.83;1
C;15;at_home;2;2;0;3;1;5.33;1
C;16;at_home;2;1;0;2;0;6.5;1
C;15;at_home;3;2;0;2;0;6.83;1
C;15;other;1;3;0;4;2;6.17;3
C;16;at_home;2;1;0;4;6;5.5;1
D;18;other;1;2;1;4;9;4.17;3
C;15;other;2;1;0;2;0;5;3
C;16;other;3;2;0;3;1;6.83;3
C;15;health;3;1;0;3;1;6.33;2
C;16;other;1;2;0;3;0;6.33;3
C;15;services;1;2;0;5;4;6.17;4
C;16;at_home;2;2;1;4;2;5.83;1
B;16;other;3;1;0;3;0;7.33;3
D;16;at_home;2;1;0;4;4;4.67;1
C;15;at_home;3;1;0;2;2;5.33;1
C;15;other;2;3;0;3;0;6.5;3
D;16;other;1;1;0;4;2;4.33;3
C;15;services;2;1;0;3;11;5.5;4
E;16;at_home;2;2;3;4;0;3.67;1
D;17;other;1;1;0;5;4;4.67;3
D;19;at_home;1;1;1;4;0;4.67;1
C;17;at_home;3;1;0;5;2;5;1
D;15;at_home;2;1;0;2;0;4.67;1
C;16;other;3;2;0;4;1;5;3
E;16;other;1;1;0;3;6;3.67;3
C;17;at_home;2;2;0;3;0;5.33;1
D;16;other;1;1;1;4;1;4.83;3
D;18;other;2;3;2;3;6;4.33;3
D;19;at_home;1;3;1;3;6;4.17;1
D;18;other;2;1;1;4;0;4.5;3
C;18;at_home;2;1;1;2;4;5;1
D;19;other;2;2;1;1;12;4;3
D;16;health;1;2;0;3;2;4.67;2
D;17;other;2;1;0;4;5;4.67;3
D;16;at_home;1;2;0;4;0;4.33;1
C;16;other;1;1;0;5;0;6.67;3
B;16;services;1;1;0;4;2;7;4
C;17;services;2;4;1;4;0;5.17;4
C;16;other;1;2;0;3;0;6.83;3
A;16;services;1;1;0;2;0;8.17;4
E;17;other;1;1;1;3;12;3.33;3
C;16;other;1;1;0;2;8;6.5;3
D;17;services;3;4;1;3;2;4.5;4
B;16;other;1;4;0;2;0;7;3
C;19;other;1;3;0;4;0;6.33;3
C;17;at_home;2;1;0;4;0;5.5;1
C;20;at_home;2;2;1;3;8;5;1
C;17;other;1;3;0;3;0;5.33;3
D;17;other;3;1;1;4;0;4.67;3
A;16;at_home;3;2;0;3;0;8.5;1
A;17;other;2;2;0;3;0;8.17;3
C;17;other;2;2;0;4;1;5;3
E;18;at_home;1;2;1;3;9;3.5;1
E;16;other;1;1;0;1;0;3.67;3
E;16;services;1;1;0;1;2;3.33;4
D;18;other;2;2;0;3;8;4.5;3
B;16;health;1;2;0;3;0;7.67;2
B;16;other;2;1;0;4;0;7.17;3
E;18;other;1;2;1;3;8;3.5;3
E;16;other;2;2;0;2;0;2.5;3
E;16;at_home;3;2;0;3;6;3.67;1
D;16;at_home;2;2;0;3;0;4.67;1
D;16;health;1;2;0;3;4;4;2
E;18;at_home;1;4;0;5;2;2.83;1
D;16;at_home;3;2;0;2;2;4;1
B;17;other;1;3;0;4;0;7.5;3
C;17;other;1;1;0;2;1;6.83;3
D;16;services;4;3;0;1;0;4.83;4
D;17;at_home;1;1;0;1;5;4.5;1
C;16;services;2;1;0;1;1;5.5;4
D;17;services;1;1;0;1;8;4.33;4
C;17;at_home;3;2;0;1;0;5;1
D;16;health;2;2;0;2;2;4;2
B;16;other;1;2;0;2;0;7.5;3
C;16;teacher;1;1;0;1;0;5.83;5
C;15;other;3;2;0;5;11;5;3
C;15;other;3;4;0;4;8;6.83;3
C;15;services;1;1;0;3;11;6.17;4
C;16;other;1;3;0;3;2;5.5;3
D;16;other;2;2;0;2;8;4.83;3
C;17;at_home;2;1;0;3;5;5.17;1
C;17;other;2;2;0;1;0;5.17;3
C;16;teacher;2;3;0;3;1;5.5;5
D;17;health;3;1;3;3;2;4.33;2
C;17;other;2;1;0;1;2;5.83;3
D;17;services;1;2;1;4;8;4.17;4
B;17;health;1;2;0;2;0;7.33;2
C;16;other;1;1;0;1;0;5.33;3
C;17;at_home;1;2;0;5;2;5.33;1
A;17;other;2;2;0;3;0;8.83;3
C;16;other;2;2;0;1;0;6.33;3
C;17;other;2;2;0;1;0;6.67;3
D;19;other;1;2;2;4;2;4.67;3
C;17;other;1;1;0;1;4;5.67;3
C;17;at_home;2;1;0;5;3;5.17;1
C;16;other;1;3;0;3;5;6.67;3
C;16;other;1;1;0;4;4;5;3
D;17;other;2;2;3;4;2;4.33;3
C;17;other;2;1;0;5;0;5.17;3
C;18;at_home;3;1;1;3;0;6.17;1
D;17;other;2;1;0;5;0;4.83;3
D;18;at_home;2;2;0;3;6;4.83;1
C;16;other;1;2;0;4;0;6;3
F;17;other;1;1;1;2;0;1.17;3
C;16;services;2;1;0;5;2;5;4
D;16;at_home;2;1;0;5;0;4.83;1
D;18;services;2;1;1;3;2;4.17;4
F;18;services;1;1;1;3;0;0.67;4
D;19;at_home;2;1;3;2;4;4.33;1
E;18;at_home;1;2;2;4;9;3.33;1
E;16;services;2;1;0;4;6;3.83;4
D;19;at_home;2;1;3;4;4;4.33;1
E;16;services;2;2;2;5;8;2.83;4
D;17;other;1;1;0;3;9;4.33;3
D;20;other;2;1;1;4;12;4.83;3
C;18;services;1;1;0;4;8;5.17;4
C;18;other;2;1;0;5;8;5;3
C;19;other;3;2;1;4;8;5;3
D;17;health;2;2;1;5;4;4.5;2
D;18;at_home;1;1;0;3;0;4.67;1
D;19;other;3;1;1;4;4;4.5;3
E;18;at_home;2;2;2;3;2;3.67;1
E;19;at_home;1;1;0;4;0;3.5;1
E;18;other;2;1;1;5;0;2.33;3
C;17;at_home;2;1;0;4;0;5.33;1
E;17;other;2;3;0;2;5;3.83;3
E;17;teacher;1;2;0;5;0;2.67;5
E;18;services;1;2;1;3;3;3.5;4
D;17;health;1;1;0;2;0;4.5;2
D;17;at_home;1;1;0;5;0;4.5;1
E;18;other;3;2;2;4;3;3.67;3
C;18;services;2;2;0;3;2;6.5;4
C;17;services;2;1;0;4;0;6;4
C;18;at_home;2;2;0;4;0;6.5;1
A;18;teacher;2;2;0;3;0;9;5
A;18;services;1;1;0;4;3;8.5;4
